```csv
UF,EMISSORAS,DIAL,SEG A SEX 06h-20h,SEG A SEX 20h-06h,SEG A SEX 05h-24h,SÁBADO E DOMINGO,DIA ABRANGÊNCIA,CIDADES,POPULAÇÃO
NET,TOTAL 25 EMISSORAS EM REDE,-,R$ 15.860,00,R$ 8.236,00,R$ 9.587,00,R$ 7.130,00,R$ 20.754,00,647,68.897.453
SP,SÃO PAULO / SANTOS,94.7,R$ 6.617,00,R$ 3.309,00,R$ 3.820,00,R$ 2.873,00,R$ 8.421,00,51,23.028.286
SP,CAMPINAS / JUNDIAÍ,107.5,R$ 1.350,00,R$ 744,00,R$ 860,00,R$ 426,00,R$ 1.805,00,51,5.414.181
SP,LITORAL NORTE DE SP,99.5,R$ 178,00,R$ 94,00,R$ 107,00,R$ 82,00,R$ 238,00,3,251.349
SP,JAÚ,94.1,R$ 143,00,R$ 76,00,R$ 87,00,R$ 64,00,R$ 189,00,30,1.636.838
SP,SÃO JOSÉ DOS CAMPOS,89.3,R$ 331,00,R$ 174,00,R$ 200,00,R$ 150,00,R$ 441,00,14,1.489.578
SP,SOROCABA,88.3,R$ 453,00,R$ 270,00,R$ 247,00,R$ 163,00,R$ 544,00,48,4.976.503
SP,BEBEDOURO,105.7,R$ 122,00,R$ 93,00,R$ 67,00,R$ 50,00,R$ 148,00,30,764.382
SP,ADAMANTINA / ALTA PAULISTA,97.9,R$ 93,00,R$ 49,00,R$ 57,00,R$ 42,00,R$ 126,00,21,576.966
ES,VITÓRIA,106.9,R$ 359,00,R$ 189,00,R$ 218,00,R$ 164,00,R$ 480,00,16,2.166.407
ES,CACHOEIRO DE ITAPEMIRIM,102.1,R$ 136,00,R$ 72,00,R$ 85,00,R$ 89,00,R$ 215,00,11,415.965
ES,COLATINA,90.9,R$ 143,00,R$ 72,00,R$ 85,00,R$ 89,00,R$ 215,00,9,248.465
ES,LINHARES,106.1,R$ 143,00,R$ 72,00,R$ 85,00,R$ 89,00,R$ 215,00,6,333.129
ES,SÃO MATEUS,93.7,R$ 143,00,R$ 72,00,R$ 85,00,R$ 89,00,R$ 215,00,4,204.056
BA,SALVADOR,100.1,R$ 620,00,R$ 326,00,R$ 510,00,R$ 503,00,R$ 781,00,18,3.314.403
MG,BELO HORIZONTE,105.1,R$ 1.141,00,R$ 599,00,R$ 691,00,R$ 521,00,R$ 1.522,00,68,6.552.858
MG,DIVINÓPOLIS,99.3,R$ 145,00,R$ 76,00,R$ 87,00,R$ 65,00,R$ 194,00,29,1.058.560
DF,BRASÍLIA,93.7,R$ 1.595,00,R$ 838,00,R$ 968,00,R$ 685,00,R$ 2.134,00,18,4.530.500
PR,FOZ DO IGUAÇU,104.5,R$ 130,00,R$ 68,00,R$ 87,00,R$ 69,00,R$ 168,00,10,1.536.257
SC,FLORIANÓPOLIS,92.1,R$ 387,00,R$ 203,00,R$ 234,00,R$ 176,00,R$ 516,00,34,1.975.164
SC,BLUMENAU,88.1,R$ 245,00,R$ 129,00,R$ 122,00,R$ 113,00,R$ 338,00,32,2.103.869
SC,LAGES,103.1,R$ 177,00,R$ 93,00,R$ 106,00,R$ 81,00,R$ 235,00,32,666.438
SC,PORTO UNIÃO,104.1,R$ 102,00,R$ 36,00,R$ 40,00,R$ 47,00,R$ 135,00,19,340.810
RS,ROSÁRIO DO SUL,103.3,R$ 68,00,R$ 36,00,R$ 40,00,R$ 29,00,R$ 90,00,10,292.480
RS,PORTO ALEGRE,89.3,R$ 888,00,R$ 466,00,R$ 610,00,R$ 404,00,R$ 1.188,00,55,4.351.648
RS,SANTA MARIA,95.3,R$ 151,00,R$ 80,00,R$ 89,00,R$ 67,00,R$ 201,00,28,668.361
ON,STREAMING – RÁDIO ONLINE,-,R$ 7.525,80,R$ 3.763,00,R$ 6.322,00,R$ 6.210,00,R$ 10.034,00,-
ROMA,ITÁLIA,107.1,R$ 2.366,00,R$ 1.183,00,R$ 1.296,00,R$ 967,00,R$ 3.076,00,32,4.355.725
```
